productname,specification,star,ratings,Reviews,price,MRP,processor,ram,storage,warranty
HP Ryzen 3 Dual Core 3250U , (8 GB/256 GB SSD/Windows 11 Home) 15s,4.1,783,76,27123,27123,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,1
HP Ryzen 3 Dual Core 3250U , (8 GB/512 GB SSD/Windows 11 Home) 15s,4.3,3743,388,33990,33990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,1
ASUS VivoBook 15 (2022) Core i3 10th Gen , (8 GB/512 GB SSD/Windows 11 Home) X515JA,4.3,8487,854,32990,32990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,1
realme Book (Slim) Core i3 11th Gen , (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,4.4,11878,1773,34990,34990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,1
DELL Inspiron Core i3 11th Gen , (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Thin and Ligh...,4.5,28,4,38990,38990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,0
RedmiBook Pro Core i5 11th Gen , (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,4.1,3246,394,39990,39990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,1
Lenovo IdeaPad 3 Core i3 11th Gen , (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,4.2,3803,362,37990,37990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,2
HP Ryzen 3 Quad Core 5300U , (8 GB/512 GB SSD/Windows 11 Home) 15s,4.2,1567,181,37499,37499,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,1
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U , (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,4.3,1312,154,44990,44990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,2
APPLE 2020 Macbook Air M1 , (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,4.7,8341,752,88990,88990,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,0
HP 14s Intel Core i3 11th Gen , (8 GB/512 GB SSD/Windows 11 Home) 14s ,4.2,3002,266,40990,40990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,1
acer Aspire 7 Ryzen 5 Hexa Core AMD R5,5500U ,4.4,5087,637,47990,47990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,1
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen , (8 GB/256 GB SSD/Windows 11 Home) K513EA,4.4,1341,227,40990,40990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,1
acer Aspire 7 Core i5 12th Gen , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,4.3,2582,306,58990,58990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,1
HP G8 Core i3 11th Gen , (8 GB/512 GB SSD/Windows 11 Home) 240 G8 Business Laptop,0,0,0,35490,35490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,1
Lenovo IdeaPad Gaming Core i5 11th Gen , (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,4.3,2216,191,54590,54590,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,1
acer Aspire 7 Ryzen 5 Hexa Core 5500U , (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,4.4,5087,637,51990,51990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,1
